Year;Month;Decimal Year;Figure Reference;Sea_Area;Monthly_Average_Sea_Surface_Temperature_degrees_C;Latitude;Longitude
1997;1;1997;Figure 4.12;Clyde;7.48;55.335864;-5.113624
1997;2;1997.08;Figure 4.12;Clyde;7.26;55.335864;-5.113624
1997;3;1997.17;Figure 4.12;Clyde;7.4;55.335864;-5.113624
1997;4;1997.25;Figure 4.12;Clyde;8.61;55.335864;-5.113624
1997;5;1997.33;Figure 4.12;Clyde;10.17;55.335864;-5.113624
1997;6;1997.42;Figure 4.12;Clyde;12.34;55.335864;-5.113624
1997;7;1997.5;Figure 4.12;Clyde;14;55.335864;-5.113624
1997;8;1997.58;Figure 4.12;Clyde;15.26;55.335864;-5.113624
1997;9;1997.67;Figure 4.12;Clyde;14.3;55.335864;-5.113624
1997;10;1997.75;Figure 4.12;Clyde;13.89;55.335864;-5.113624
1997;11;1997.83;Figure 4.12;Clyde;12.56;55.335864;-5.113624
1997;12;1997.92;Figure 4.12;Clyde;10.83;55.335864;-5.113624
1998;1;1998;Figure 4.12;Clyde;9.39;55.335864;-5.113624
1998;2;1998.08;Figure 4.12;Clyde;8.48;55.335864;-5.113624
1998;3;1998.17;Figure 4.12;Clyde;8.24;55.335864;-5.113624
1998;4;1998.25;Figure 4.12;Clyde;8.72;55.335864;-5.113624
1998;5;1998.33;Figure 4.12;Clyde;10.62;55.335864;-5.113624
1998;6;1998.42;Figure 4.12;Clyde;12.06;55.335864;-5.113624
1998;7;1998.5;Figure 4.12;Clyde;13.56;55.335864;-5.113624
1998;8;1998.58;Figure 4.12;Clyde;14.22;55.335864;-5.113624
1998;9;1998.67;Figure 4.12;Clyde;14.75;55.335864;-5.113624
1998;10;1998.75;Figure 4.12;Clyde;13.46;55.335864;-5.113624
1998;11;1998.83;Figure 4.12;Clyde;11.56;55.335864;-5.113624
1998;12;1998.92;Figure 4.12;Clyde;9.94;55.335864;-5.113624
1999;1;1999;Figure 4.12;Clyde;8.35;55.335864;-5.113624
1999;2;1999.08;Figure 4.12;Clyde;7.24;55.335864;-5.113624
1999;3;1999.17;Figure 4.12;Clyde;7.1;55.335864;-5.113624
1999;4;1999.25;Figure 4.12;Clyde;8.35;55.335864;-5.113624
1999;5;1999.33;Figure 4.12;Clyde;10.24;55.335864;-5.113624
1999;6;1999.42;Figure 4.12;Clyde;11.94;55.335864;-5.113624
1999;7;1999.5;Figure 4.12;Clyde;14.24;55.335864;-5.113624
1999;8;1999.58;Figure 4.12;Clyde;15.06;55.335864;-5.113624
1999;9;1999.67;Figure 4.12;Clyde;14.79;55.335864;-5.113624
1999;10;1999.75;Figure 4.12;Clyde;13.97;55.335864;-5.113624
1999;11;1999.83;Figure 4.12;Clyde;12.32;55.335864;-5.113624
1999;12;1999.92;Figure 4.12;Clyde;9.73;55.335864;-5.113624
2000;1;2000;Figure 4.12;Clyde;7.83;55.335864;-5.113624
2000;2;2000.08;Figure 4.12;Clyde;7.16;55.335864;-5.113624
2000;3;2000.17;Figure 4.12;Clyde;7.13;55.335864;-5.113624
2000;4;2000.25;Figure 4.12;Clyde;7.77;55.335864;-5.113624
2000;5;2000.33;Figure 4.12;Clyde;10.09;55.335864;-5.113624
2000;6;2000.42;Figure 4.12;Clyde;11.48;55.335864;-5.113624
2000;7;2000.5;Figure 4.12;Clyde;13.73;55.335864;-5.113624
2000;8;2000.58;Figure 4.12;Clyde;15.2;55.335864;-5.113624
2000;9;2000.67;Figure 4.12;Clyde;15.1;55.335864;-5.113624
2000;10;2000.75;Figure 4.12;Clyde;13.9;55.335864;-5.113624
2000;11;2000.83;Figure 4.12;Clyde;11.59;55.335864;-5.113624
2000;12;2000.92;Figure 4.12;Clyde;10.38;55.335864;-5.113624
2001;1;2001;Figure 4.12;Clyde;8.64;55.335864;-5.113624
2001;2;2001.08;Figure 4.12;Clyde;7.37;55.335864;-5.113624
2001;3;2001.17;Figure 4.12;Clyde;6.87;55.335864;-5.113624
2001;4;2001.25;Figure 4.12;Clyde;7.59;55.335864;-5.113624
2001;5;2001.33;Figure 4.12;Clyde;10.08;55.335864;-5.113624
2001;6;2001.42;Figure 4.12;Clyde;11.4;55.335864;-5.113624
2001;7;2001.5;Figure 4.12;Clyde;13.74;55.335864;-5.113624
2001;8;2001.58;Figure 4.12;Clyde;14.68;55.335864;-5.113624
2001;9;2001.67;Figure 4.12;Clyde;14.32;55.335864;-5.113624
2001;10;2001.75;Figure 4.12;Clyde;13.94;55.335864;-5.113624
2001;11;2001.83;Figure 4.12;Clyde;12.38;55.335864;-5.113624
2001;12;2001.92;Figure 4.12;Clyde;10.39;55.335864;-5.113624
2002;1;2002;Figure 4.12;Clyde;8.61;55.335864;-5.113624
2002;2;2002.08;Figure 4.12;Clyde;8;55.335864;-5.113624
2002;3;2002.17;Figure 4.12;Clyde;7.67;55.335864;-5.113624
2002;4;2002.25;Figure 4.12;Clyde;8.67;55.335864;-5.113624
2002;5;2002.33;Figure 4.12;Clyde;10.27;55.335864;-5.113624
2002;6;2002.42;Figure 4.12;Clyde;12.14;55.335864;-5.113624
2002;7;2002.5;Figure 4.12;Clyde;13.77;55.335864;-5.113624
2002;8;2002.58;Figure 4.12;Clyde;14.83;55.335864;-5.113624
2002;9;2002.67;Figure 4.12;Clyde;14.82;55.335864;-5.113624
2002;10;2002.75;Figure 4.12;Clyde;13.7;55.335864;-5.113624
2002;11;2002.83;Figure 4.12;Clyde;11.93;55.335864;-5.113624
2002;12;2002.92;Figure 4.12;Clyde;10.17;55.335864;-5.113624
2003;1;2003;Figure 4.12;Clyde;8.37;55.335864;-5.113624
2003;2;2003.08;Figure 4.12;Clyde;7.14;55.335864;-5.113624
2003;3;2003.17;Figure 4.12;Clyde;7.2;55.335864;-5.113624
2003;4;2003.25;Figure 4.12;Clyde;8.51;55.335864;-5.113624
2003;5;2003.33;Figure 4.12;Clyde;10.15;55.335864;-5.113624
2003;6;2003.42;Figure 4.12;Clyde;12.57;55.335864;-5.113624
2003;7;2003.5;Figure 4.12;Clyde;14.43;55.335864;-5.113624
2003;8;2003.58;Figure 4.12;Clyde;15.38;55.335864;-5.113624
2003;9;2003.67;Figure 4.12;Clyde;15.13;55.335864;-5.113624
2003;10;2003.75;Figure 4.12;Clyde;13.71;55.335864;-5.113624
2003;11;2003.83;Figure 4.12;Clyde;11.99;55.335864;-5.113624
2003;12;2003.92;Figure 4.12;Clyde;10.32;55.335864;-5.113624
2004;1;2004;Figure 4.12;Clyde;8.73;55.335864;-5.113624
2004;2;2004.08;Figure 4.12;Clyde;7.75;55.335864;-5.113624
2004;3;2004.17;Figure 4.12;Clyde;7.6;55.335864;-5.113624
